TTB ID,Permit No.,Serial Number,Completed Date,Fanciful Name,Brand Name,Origin,Origin Desc,Class/Type,Class/Type Desc
'24059001000342',NY-I-15635,240025,03/05/2024,,LES CHAMPS DE L'ABBAYE,51,FRANCE,84,SPARKLING WINE/CHAMPAGNE
'24059001000347',BWN-FL-21130,240021,03/04/2024,BARREL-AGED ENDLESS BANANA,ZYMARIUM MEADERY,16,FLORIDA,82M,HONEY BASED TABLE WINE
'24059001000349',BW-NY-685,243243,03/01/2024,,VALOIS ROUGE,02,NEW YORK,80,TABLE RED WINE
'24059001000358',BW-NY-685,242139,03/01/2024,,BAGLEY'S,02,NEW YORK,81,TABLE WHITE WINE
'24059001000363',BW-NY-685,243451,03/01/2024,,BAGLEY'S,02,NEW YORK,81,TABLE WHITE WINE
'24059001000364',BWN-CA-23175,240002,03/01/2024,,CLARK FERREA,01,CALIFORNIA,81,TABLE WHITE WINE
'24059001000368',BWN-CA-23175,240003,03/01/2024,,CLARK FERREA,01,CALIFORNIA,81,TABLE WHITE WINE
'24059001000419',BW-CA-3620,240001,03/01/2024,LOVE Y'ALL,TABITHA BROWN,01,CALIFORNIA,81,TABLE WHITE WINE
'24059001000426',FL-I-22449,243024,03/01/2024,,SENDA DE LOS OVILOS,52,SPAIN,88,DESSERT /PORT/SHERRY/(COOKING) WINE
'24059001000428',CA-I-21327,24LEAS,03/01/2024,,NGA WAKA,84,NEW ZEALAND,80,TABLE RED WINE
'24059001000429',FL-I-22672,240029,03/07/2024,CLO,IUPPA,50,ITALY,80,TABLE RED WINE
'24059001000431',CA-I-21327,24CHAR,03/01/2024,,NGA WAKA,84,NEW ZEALAND,81,TABLE WHITE WINE
'24059001000432',NY-I-15465,24LALA,03/01/2024,,LA LAGUNE,51,FRANCE,88,DESSERT /PORT/SHERRY/(COOKING) WINE
'24059001000435',CA-I-21327,24SBSB,03/01/2024,,NGA WAKA,84,NEW ZEALAND,81,TABLE WHITE WINE
